 frequency       Tmag            Tphase         
 1.12201845e+04  2.84721287e+01 -6.15809626e+01 
 1.25892541e+04  2.76804737e+01 -6.42688894e+01 
 1.41253754e+04  2.68533991e+01 -6.67738778e+01 
 1.58489319e+04  2.59958396e+01 -6.90912071e+01 
 1.77827941e+04  2.51124101e+01 -7.12216388e+01 
 1.99526231e+04  2.42072867e+01 -7.31701782e+01 
 2.23872114e+04  2.32841537e+01 -7.49449590e+01 
 2.51188643e+04  2.23461941e+01 -7.65562064e+01 
 2.81838293e+04  2.13961115e+01 -7.80153887e+01 
 3.16227766e+04  2.04361721e+01 -7.93345794e+01 
 3.54813389e+04  1.94682548e+01 -8.05259481e+01 
 3.98107171e+04  1.84939039e+01 -8.16014378e+01 
 4.46683592e+04  1.75143797e+01 -8.25725162e+01 
 5.01187234e+04  1.65307052e+01 -8.34500636e+01 
 5.62341325e+04  1.55437066e+01 -8.42442797e+01 
 6.30957344e+04  1.45540488e+01 -8.49646692e+01 
 7.07945784e+04  1.35622651e+01 -8.56200561e+01 
 7.94328235e+04  1.25687820e+01 -8.62186102e+01 
 8.91250938e+04  1.15739395e+01 -8.67679013e+01 
 1.00000000e+05  1.05780079e+01 -8.72749532e+01 
 1.12201845e+05  9.58120096e+00 -8.77463032e+01 
 1.25892541e+05  8.58368696e+00 -8.81880719e+01 
 1.41253754e+05  7.58559714e+00 -8.86060232e+01 
 1.58489319e+05  6.58703256e+00 -8.90056369e+01 
 1.77827941e+05  5.58806921e+00 -8.93921646e+01 
 1.99526231e+05  4.58876202e+00 -8.97706979e+01 
 2.23872114e+05  3.58914770e+00 -9.01462318e+01 
 2.51188643e+05  2.58924674e+00 -9.05237268e+01 
 2.81838293e+05  1.58906436e+00 -9.09081709e+01 
 3.16227766e+05  5.88590896e-01 -9.13046445e+01 
 3.54813389e+05 -4.12198808e-01 -9.17183854e+01 
 3.98107171e+05 -1.41334663e+00 -9.21548555e+01 
 4.46683592e+05 -2.41491343e+00 -9.26198083e+01 
 5.01187234e+05 -3.41698224e+00 -9.31193634e+01 
 5.62341325e+05 -4.41966251e+00 -9.36600795e+01 
 6.30957344e+05 -5.42309589e+00 -9.42490340e+01 
 7.07945784e+05 -6.42746345e+00 -9.48939054e+01 
 7.94328235e+05 -7.43299505e+00 -9.56030584e+01 
 8.91250938e+05 -8.43998089e+00 -9.63856327e+01 
 1.00000000e+06 -9.44878605e+00 -9.72516327e+01 
 1.12201845e+06 -1.04598686e+01 -9.82120159e+01 
 1.25892541e+06 -1.14738016e+01 -9.92787769e+01 
 1.41253754e+06 -1.24913000e+01 -1.00465021e+02 
 1.58489319e+06 -1.35132533e+01 -1.01785020e+02 
 1.77827941e+06 -1.45407643e+01 -1.03254241e+02 
 1.99526231e+06 -1.55751942e+01 -1.04889330e+02 
 2.23872114e+06 -1.66182151e+01 -1.06708035e+02 
 2.51188643e+06 -1.76718676e+01 -1.08729045e+02 
 2.81838293e+06 -1.87386228e+01 -1.10971712e+02 
 3.16227766e+06 -1.98214445e+01 -1.13455637e+02 
 3.54813389e+06 -2.09238448e+01 -1.16200076e+02 
 3.98107171e+06 -2.20499254e+01 -1.19223155e+02 
 4.46683592e+06 -2.32043911e+01 -1.22540884e+02 
 5.01187234e+06 -2.43925207e+01 -1.26166007e+02 
 5.62341325e+06 -2.56200807e+01 -1.30106741e+02 
 6.30957344e+06 -2.68931678e+01 -1.34365562e+02 
 7.07945784e+06 -2.82179752e+01 -1.38938182e+02 
 7.94328235e+06 -2.96004873e+01 -1.43812968e+02 
 8.91250938e+06 -3.10461286e+01 -1.48970974e+02 
 1.00000000e+07 -3.25593993e+01 -1.54386746e+02 
 1.12201845e+07 -3.41435481e+01 -1.60029903e+02 
 1.25892541e+07 -3.58003262e+01 -1.65867389e+02 
 1.41253754e+07 -3.75298613e+01 -1.71866128e+02 
 1.58489319e+07 -3.93306714e+01 -1.77995730e+02 
 1.77827941e+07 -4.11998176e+01 -1.84230848e+02 
 1.99526231e+07 -4.31331663e+01 -1.90552752e+02 
 2.23872114e+07 -4.51257077e+01 -1.96949798e+02 
 2.51188643e+07 -4.71718509e+01 -2.03416608e+02 
 2.81838293e+07 -4.92656099e+01 -2.09952079e+02 
 3.16227766e+07 -5.14006143e+01 -2.16556586e+02 
 3.54813389e+07 -5.35699194e+01 -2.23228972e+02 
 3.98107171e+07 -5.57656477e+01 -2.29963953e+02 
 4.46683592e+07 -5.79785465e+01 -2.36750373e+02 
 5.01187234e+07 -6.01975755e+01 -2.43570501e+02 
 5.62341325e+07 -6.24096398e+01 -2.50400259e+02 
 6.30957344e+07 -6.45995576e+01 -2.57210047e+02 
 7.07945784e+07 -6.67503076e+01 -2.63965852e+02 
