 v-sweep         dc1.v(Vout)     v-sweep         dc2.v(Vout)     v-sweep         dc3.v(Vout)    
 8.80000000e-02  2.36600714e-03  8.80000000e-02  6.41141791e-06  8.80000000e-02  7.29520018e-07 
 8.90000000e-02  2.41020555e-03  8.90000000e-02  6.58715081e-06  8.90000000e-02  7.30491666e-07 
 9.00000000e-02  2.45519806e-03  9.00000000e-02  6.76794008e-06  9.00000000e-02  7.29748274e-07 
 9.10000000e-02  2.50100081e-03  9.10000000e-02  6.95443933e-06  9.10000000e-02  7.30155117e-07 
 9.20000000e-02  2.54762828e-03  9.20000000e-02  7.14510834e-06  9.20000000e-02  7.30115171e-07 
 9.30000000e-02  2.59509523e-03  9.30000000e-02  7.34290131e-06  9.30000000e-02  7.29869727e-07 
 9.40000000e-02  2.64341859e-03  9.40000000e-02  7.54620169e-06  9.40000000e-02  7.29888393e-07 
 9.50000000e-02  2.69261658e-03  9.50000000e-02  7.75483498e-06  9.50000000e-02  7.30844929e-07 
 9.60000000e-02  2.74270294e-03  9.60000000e-02  7.97127718e-06  9.60000000e-02  7.30774336e-07 
 9.70000000e-02  2.79369750e-03  9.70000000e-02  8.19210674e-06  9.70000000e-02  7.30089376e-07 
 9.80000000e-02  2.84561653e-03  9.80000000e-02  8.42007635e-06  9.80000000e-02  7.31172255e-07 
 9.90000000e-02  2.89847740e-03  9.90000000e-02  8.65413028e-06  9.90000000e-02  7.31224286e-07 
 1.00000000e-01  2.95229983e-03  1.00000000e-01  8.89614267e-06  1.00000000e-01  7.31908906e-07 
 1.01000000e-01  3.00710289e-03  1.01000000e-01  9.14475058e-06  1.01000000e-01  7.31001514e-07 
 1.02000000e-01  3.06290358e-03  1.02000000e-01  9.40040704e-06  1.02000000e-01  7.31435691e-07 
 1.03000000e-01  3.11972381e-03  1.03000000e-01  9.66358002e-06  1.03000000e-01  7.32322138e-07 
 1.04000000e-01  3.17758404e-03  1.04000000e-01  9.93471158e-06  1.04000000e-01  7.32851839e-07 
 1.05000000e-01  3.23650191e-03  1.05000000e-01  1.02134417e-05  1.05000000e-01  7.32137945e-07 
 1.06000000e-01  3.29650139e-03  1.06000000e-01  1.04997199e-05  1.06000000e-01  7.32025595e-07 
 1.07000000e-01  3.35760417e-03  1.07000000e-01  1.07939020e-05  1.07000000e-01  7.32677557e-07 
 1.08000000e-01  3.41983206e-03  1.08000000e-01  1.10978575e-05  1.08000000e-01  7.33135852e-07 
 1.09000000e-01  3.48320651e-03  1.09000000e-01  1.14113570e-05  1.09000000e-01  7.32776955e-07 
 1.10000000e-01  3.54775172e-03  1.10000000e-01  1.17314897e-05  1.10000000e-01  7.32829731e-07 
 1.11000000e-01  3.61349222e-03  1.11000000e-01  1.20612413e-05  1.11000000e-01  7.34132216e-07 
 1.12000000e-01  3.68045104e-03  1.12000000e-01  1.24021300e-05  1.12000000e-01  7.33783815e-07 
 1.13000000e-01  3.74865422e-03  1.13000000e-01  1.27512568e-05  1.13000000e-01  7.33571237e-07 
 1.14000000e-01  3.81812680e-03  1.14000000e-01  1.31104467e-05  1.14000000e-01  7.34459340e-07 
 1.15000000e-01  3.88889562e-03  1.15000000e-01  1.34808411e-05  1.15000000e-01  7.34300124e-07 
 1.16000000e-01  3.96098757e-03  1.16000000e-01  1.38600995e-05  1.16000000e-01  7.34540158e-07 
 1.17000000e-01  4.03443028e-03  1.17000000e-01  1.42521570e-05  1.17000000e-01  7.34450582e-07 
 1.18000000e-01  4.10925286e-03  1.18000000e-01  1.46531629e-05  1.18000000e-01  7.35500307e-07 
 1.19000000e-01  4.18548298e-03  1.19000000e-01  1.50663380e-05  1.19000000e-01  7.34872481e-07 
 1.20000000e-01  4.26315072e-03  1.20000000e-01  1.54921836e-05  1.20000000e-01  7.35799500e-07 
 1.21000000e-01  4.34228790e-03  1.21000000e-01  1.59275936e-05  1.21000000e-01  7.35870587e-07 
 1.22000000e-01  4.42292600e-03  1.22000000e-01  1.63778923e-05  1.22000000e-01  7.35681843e-07 
 1.23000000e-01  4.50509465e-03  1.23000000e-01  1.68395767e-05  1.23000000e-01  7.36720347e-07 
 1.24000000e-01  4.58882929e-03  1.24000000e-01  1.73141592e-05  1.24000000e-01  7.36266432e-07 
 1.25000000e-01  4.67416491e-03  1.25000000e-01  1.78018757e-05  1.25000000e-01  7.35708942e-07 
 1.26000000e-01  4.76113437e-03  1.26000000e-01  1.83031607e-05  1.26000000e-01  7.37133214e-07 
 1.27000000e-01  4.84977548e-03  1.27000000e-01  1.88178440e-05  1.27000000e-01  7.36556152e-07 
 1.28000000e-01  4.94012256e-03  1.28000000e-01  1.93474798e-05  1.28000000e-01  7.37186163e-07 
 1.29000000e-01  5.03221617e-03  1.29000000e-01  1.98917316e-05  1.29000000e-01  7.36983518e-07 
 1.30000000e-01  5.12609321e-03  1.30000000e-01  2.04505110e-05  1.30000000e-01  7.38119319e-07 
 1.31000000e-01  5.22179605e-03  1.31000000e-01  2.10248349e-05  1.31000000e-01  7.38551766e-07 
 1.32000000e-01  5.31936519e-03  1.32000000e-01  2.16155799e-05  1.32000000e-01  7.37772293e-07 
 1.33000000e-01  5.41883998e-03  1.33000000e-01  2.22221382e-05  1.33000000e-01  7.39146774e-07 
 1.34000000e-01  5.52027062e-03  1.34000000e-01  2.28444871e-05  1.34000000e-01  7.38089912e-07 
 1.35000000e-01  5.62369649e-03  1.35000000e-01  2.34854944e-05  1.35000000e-01  7.38644591e-07 
 1.36000000e-01  5.72916535e-03  1.36000000e-01  2.41419530e-05  1.36000000e-01  7.39754906e-07 
 1.37000000e-01  5.83672567e-03  1.37000000e-01  2.48180467e-05  1.37000000e-01  7.40037410e-07 
 1.38000000e-01  5.94642612e-03  1.38000000e-01  2.55122336e-05  1.38000000e-01  7.40389208e-07 
 1.39000000e-01  6.05831704e-03  1.39000000e-01  2.62243455e-05  1.39000000e-01  7.40795543e-07 
 1.40000000e-01  6.17245158e-03  1.40000000e-01  2.69551855e-05  1.40000000e-01  7.40897388e-07 
 1.41000000e-01  6.28888313e-03  1.41000000e-01  2.77066488e-05  1.41000000e-01  7.42172208e-07 
 1.42000000e-01  6.40766694e-03  1.42000000e-01  2.84773045e-05  1.42000000e-01  7.41950052e-07 
